display_name,normalized_name,occurrence_count,recipe_count,kind,nutrition_match_status,nutrition_reference_name,nutrition_matched_alias,quantity_examples,recipe_examples
Cognac,cognac,705,704,ingredient,unmatched,,,1/3 (83) | 1 Bicchierino (54) | 1/2 (42) | 1/4 (33) | 1 Cucchiaio (31),4 Luglio | A. B. C. | Abc | Aceto Di Cognac | Aceto Di Cognac Fatto In Casa
Pomodori,pomodori,682,681,ingredient,alias,Pomodorini,pomodori,2 (169) | 4 (97) | 3 (93) | 500 G (56) | 300 G (35),Acqua Cotta (2) | Acqua Cotta (3) | Acqua Cotta (4) | Acqua Cotta (5) | Acquacotta Toscana Con I Funghi
Gin,gin,680,680,ingredient,unmatched,,,1/3 (80) | 2/4 (69) | 3/4 (59) | 2/3 (53) | 1/4 (36),57 Chevy | Abat-jour | Abate | Absinthe Cocktail | Adam And Eve
Carote,carote,663,661,ingredient,exact,Carote,,2 (239) | 4 (46) | 3 (44) | 500 G (36) | 150 G (30),Agnello Alla Toscana | Agnello Alla Valtellinese | Agnello Con Rape | Agnello Con Ratatouille Di Verdure | Alborelle In Carpione Alla Piemontese
Cipolle,cipolle,645,644,ingredient,alias,Cipolla dorata,cipolle,2 (307) | 3 (54) | 4 (38) | 500 G (31) | 400 G (21),Aceto Di Cipolla E Scalogni | Acqua Cotta (2) | Acqua Cotta (3) | Acqua Cotta (6) | Acquacotta Della Tuscia
Brandy,brandy,615,614,ingredient,unmatched,,,1 Bicchierino (119) | 2 Cucchiai (37) | 1 Cucchiaio (37) | 1/2 Bicchiere (27) | 1 Bicchiere (24),Accordion | Adam And Eve | After Dinner | Aibes | Al Capone
Limone (succo),limone succo,610,608,ingredient,unmatched,,,1 (298) | 1/2 (295) | 1/4 (11) | 1 1/2 (5) | 1 1/2 Cucchiai (1),Agnello Con Carciofi In Fricassea | Agnello Con I Bamia | Agnello Con Le Olive | Agnello In Salsa Appetitosa | Agoni Alla Griglia Alla Maniera Trentina
Formaggio Parmigiano,formaggio parmigiano,604,601,ingredient,unmatched,,,50 G (84) | 100 G (64) | 30 G (31) | 2 Cucchiai (27) | 4 Cucchiai (22),Acqua Cotta (2) | Agnolini In Brodo | Agnolotti Di Alessandria | Agnolotti Ricotta E Spinaci Decorati Con Ravanelli | Anche I Tonni Sono Dei Salami
Per Decorare:,per decorare,591,591,section-label,section-label,,,,1908 | 31 Marzo | 333 | Adam (2) | Adriana
Peperoncino,peperoncino,589,587,ingredient,unmatched,,,1 (123) | 1 Pizzico (38) | 1 Pezzetto (33) | 1 Spicchio (17) | 1/2 (12),Abbuticchi | Acciughe Al Verde | Acciughe Al Verde (2) | Acciughe Alle Olive | Acciughe Con Salsa Verde
